Galaxy,T,V_flat,burk_a_kpc,burk_bic,burk_chi2,burk_chi2_red,burk_rho0,fw_best_bic,fw_best_chi2,fw_best_chi2_red,fw_best_n_shells,fw_n0_bic,fw_n0_chi2,fw_n0_chi2_red,fw_n1_M_sh1,fw_n1_bic,fw_n1_chi2,fw_n1_chi2_red,fw_n1_r_sh1_kpc,fw_n1_sigma_sh1_kpc,fw_n2_M_sh1,fw_n2_M_sh2,fw_n2_bic,fw_n2_chi2,fw_n2_chi2_red,fw_n2_r_sh1_kpc,fw_n2_r_sh2_kpc,fw_n2_sigma_sh1_kpc,fw_n2_sigma_sh2_kpc,is_clean,logM_halo,logM_star,n_excluded,n_pts_total,n_pts_used,nfw_bic,nfw_chi2,nfw_chi2_red,nfw_r_s_kpc,nfw_rho_s,ratio_fw_over_burk,ratio_fw_over_nfw
NGC0100,6,88.1,4.737039354047202,7.7144656778696366,1.625420802422791,0.08554846328541005,27482929.52217859,7.7144656778696366,1.625420802422791,0.08554846328541005,0,7.7144656778696366,1.625420802422791,0.08554846328541005,331084323.9285259,16.360456157909667,1.137843969292554,0.07111524808078462,3.425067765775371,0.04735821055894055,425356594.7979471,2128204683.6864552,24.466734838021527,0.11055533623414193,0.008504256633395534,1.5073720903442491,3.453303863788563,0.41626954924633375,0.7394922418654045,True,11.258272221884678,9.208441356438568,0,21,21,20.465894133054647,14.376849257607802,0.7566762767162001,462.4421818651055,64863.0128755336,1.0,0.11305820721203337
NGC0247,7,104.9,3.156103749381639,99.4889234467296,92.97273037068663,3.8738637654452766,50929873.87860606,17.655969907945718,1.365487217838307,0.0650232008494432,1,99.4889234467296,92.97273037068663,3.8738637654452766,1917099817.968109,17.655969907945718,1.365487217838307,0.0650232008494432,2.0444986303785564,0.7561132383000448,2225051393.2509756,6415111017.577775,26.47093920763721,0.4061669034653512,0.02256482797029729,2.1472350539042204,7.971697415465787,0.7792563215824073,2.5972123603088035,True,11.485670961229207,9.564192460626195,0,26,26,46.45510102912483,39.938907953081866,1.6641211647117444,22.15703508263592,1965438.4624311414,0.01468696479488174,0.03418939795355471
NGC0289,4,163.0,9.854168204897986,74.18837266490654,67.52396364455613,2.5970755247906205,20135544.19215617,54.6576144849754,37.99659193409938,1.6520257362651904,1,74.18837266490654,67.52396364455613,2.5970755247906205,38225125710.56245,54.6576144849754,37.99659193409938,1.6520257362651904,7.939085794442031,1.940752654669335,2300724877.8729596,25910414879.55944,68.31730103978455,41.659664958382926,2.082983247919146,1.074877507758609,5.999999986090679,0.011335697756826399,2.323514635810949,True,12.059907309860408,10.556694395304326,0,28,28,57.43184581419879,50.76743679384838,1.9525937228403225,19.461023215557262,5045026.22038749,0.5627127005474998,0.748444166846405
NGC0300,7,93.3,3.7878764309626924,19.85482505399036,13.417073404253959,0.5833510175762591,45866159.05511878,19.85482505399036,13.417073404253959,0.5833510175762591,0,19.85482505399036,13.417073404253959,0.5833510175762591,3429670486.240199,21.664351926403487,5.569972802062485,0.27849864010312425,9.017187120342905,0.2475031060342278,1446343858.9792309,7541978305.192272,27.766473240313672,2.015466641368066,0.11855686125694508,3.2425474513713555,8.616114304320355,0.08334797493497603,1.0311201402276273,True,11.332989427888034,9.164650215934296,0,25,25,21.325317748836078,14.887566099099676,0.6472854825695511,20.195605011673123,2447105.803157016,1.0,0.901226789855553
NGC0801,5,220.1,12.671138210535645,134.4566422913399,129.66085174574317,14.406761305082576,13721604.653364351,20.388305564644217,8.398829200652363,1.399804866775394,1,134.4566422913399,129.66085174574317,14.406761305082576,26872996384.84481,20.388305564644217,8.398829200652363,1.399804866775394,3.0817331240052743,1.2326932496021097,11088934668.271606,19418914647.703564,22.076613425297587,2.893451242910623,0.9644837476368743,1.7700492689730518,4.558701299041519,0.7063991707246262,0.8988451535939495,False,12.45120462430858,11.193917297086106,2,13,11,72.80443722467805,68.00864667908131,7.556516297675701,21.416934012070584,4752044.780835701,0.06477536656262248,0.12349649067837941
NGC0891,3,216.1,12.00881272493963,38.14313475727621,32.86502009804569,2.738751674837141,17976546.83793766,15.629199183330716,2.433912535254423,0.2704347261393803,1,38.14313475727621,32.86502009804569,2.738751674837141,36945095194.72296,15.629199183330716,2.433912535254423,0.2704347261393803,8.75943192509635,1.6229886800853421,13436781.942383794,11576682379.951496,32.48479552369288,11.37233688677081,1.8953894811284684,0.22149921783434867,8.825501073418655,0.08859580508961033,0.09545226931687263,False,12.427308797298258,10.83991777567868,4,18,14,53.307894190593224,48.029779531362706,4.002481627613559,499.9999999131606,110664.81640523423,0.07405784411490912,0.050675071986643526
NGC1003,6,109.8,9.336391396690544,195.68970369892273,188.5226658220105,5.544784288882662,10372132.666291377,48.4242917647378,30.50669707245725,0.9840870023373306,1,195.68970369892273,188.5226658220105,5.544784288882662,9589294524.085436,48.4242917647378,30.50669707245725,0.9840870023373306,5.234523086185244,1.8826450330188074,5329463450.455037,4140197106.8191285,53.56126117238361,24.893109664734734,0.8890396308833833,6.286289775730089,3.7180433710046636,0.6961578098438428,1.4872173484018654,True,11.545151516990751,9.532754378992498,0,36,36,94.46496488263327,87.29792700572105,2.5675860884035604,29.669309647096796,1209813.3754235003,0.1618197840532314,0.349454999893159
NGC1090,4,164.4,7.163803192076718,43.93781694258461,37.75573203586798,1.8877866017933989,28768147.072879247,24.336478364135885,8.881266097344305,0.5224274174908414,1,43.93781694258461,37.75573203586798,1.8877866017933989,18166496635.7483,24.336478364135885,8.881266097344305,0.5224274174908414,4.657117675873941,1.0381282683649993,9685392647.3857,10104734393.543947,33.170606801271504,8.442267174404972,0.6030190838860694,3.8499953803654807,5.9533549762923,0.2855166514391138,1.321193027801235,False,12.071049936260628,10.556573850030665,2,24,22,46.82652507868579,40.64444017196916,2.032222008598458,19.10514443192363,4250289.085934852,0.23522960934533316,0.21851121727269746
NGC2403,6,131.2,3.705781476857178,1359.6138375716662,1351.0329186893694,19.028632657596752,81962139.25436457,85.48065232152473,51.15697679233761,0.7870304121898094,2,1359.6138375716662,1351.0329186893694,19.028632657596752,762374244.3073978,193.6297567083595,172.17745950261755,2.5320214632737876,0.803068275255969,0.3130970723613607,1332083982.7938464,8710670449.767372,85.48065232152473,51.15697679233761,0.7870304121898094,1.0144162212380656,4.3973719715666,0.39891162041911715,1.1790007676529866,True,11.77714600176746,9.70074697141346,0,73,73,355.9876675100195,347.4067486277227,4.893052797573559,14.055840390492559,6810494.727896956,0.037865085361476425,0.14725383716468002
NGC2683,3,154.0,3.9724783829448747,11.021381341119248,6.225590795522508,0.691732310613612,112155433.73828346,11.021381341119248,6.225590795522508,0.691732310613612,0,11.021381341119248,6.225590795522508,0.691732310613612,3439664150.083477,17.856841624235607,5.867365260243751,0.9778942100406253,7.974000551403224,0.07984111403618153,19202316544.417477,21155688558.48474,24.377027110128132,5.193864927741167,1.7312883092470557,3.6493855719054262,8.372411804099427,1.4597161835548649,0.6033553258306843,True,11.985906659157925,10.604307070617006,0,11,11,12.43360402471577,7.637813479119028,0.8486459421243365,6.7807749702310725,36882453.05596119,1.0,0.8151011821043564
