galaxy,n,rmax,burk_chi2,burk_chi2_red,burk_bic,ein0_chi2,ein0_chi2_red,ein0_bic,ein1_chi2,ein1_chi2_red,ein1_bic,ein2_chi2,ein2_chi2_red,ein2_bic,fw_einasto_n_shells,fw_einasto_chi2,fw_einasto_chi2_red,fw_einasto_popt,T,V_flat,burk_canonical_chi2_red,fw_burkert_n_shells,fw_burkert_chi2_red
NGC4183,23,21.02,8.06748328857489,0.38416587088451853,14.338471720433189,3.3468270975160634,0.16734135487580318,12.753309745303513,1.231745710171608,0.07245563001009458,20.044711005746507,1.0742065712458873,0.07672904080327766,29.293654514608235,0,3.3468270975160634,0.16734135487580318,"[6.479739668201941, 0.9035628172196507, 0.277764127034276]",6,110.6,0.3841658708842539,0,0.3841658708842539
NGC4217,11,16.72,5.469146144962351,0.6076829049958168,10.264936690559093,5.4057839340953695,0.6757229917619212,12.599469752490482,0.24325303701234655,0.048650607402469306,14.63062467380257,0.06429282074334507,0.03214641037167253,21.64535027592868,0,5.4057839340953695,0.6757229917619212,"[6.241867648779876, 1.249360092149032, 1.1999999999999997]",3,181.3,0.6076829050035885,0,0.6076829050035885
NGC4559,32,20.97,7.3749252104693666,0.2458308403489789,14.30639701606882,5.756375377078303,0.19849570265787253,16.153583085477482,1.0483539719410622,0.04032130661311777,21.84276938873942,0.8271465332220456,0.03596289274878459,32.018769658419586,0,5.756375377078303,0.19849570265787253,"[6.340655149870736, 1.0304894346018998, 0.8250390393673287]",6,121.2,0.2458308403489776,0,0.2458308403489776
NGC5005,13,11.47,0.34456473976669083,0.031324067251517346,5.474463454689764,0.34413557345029233,0.03441355734502923,8.038983645834904,0.09431519413825235,0.013473599162607477,15.484011338907473,0.014619473777642831,0.003654868444410708,23.099163690931473,0,0.34413557345029233,0.03441355734502923,"[6.765463715432246, 1.1297667999621879, 1.1999999999999997]",4,262.2,0.0313240672515259,0,0.0313240672515259
NGC5033,20,44.59,44.54004314249027,2.4744468412494594,50.53150768959825,32.79062873885481,1.9288605140502828,41.77782555951678,22.453124483795218,1.6037946059853727,40.427518125119164,11.21330001460641,1.0193909104187646,38.174890476592324,2,11.21330001460641,1.0193909104187646,"[6.808563257320876, 1.040308285040321, 1.0205762581970639, 10.638046179942314, 22.25133939876167, 2.907995848618872, 10.699999999999967, 39.51671691007526, 1.7389857720658717]",5,194.2,2.4744468412494536,0,2.4744468412494536
NGC5055,22,54.59,190.57790347228863,9.528895173614432,196.75998837900525,160.05006949663584,8.423687868243992,169.32319685671078,17.26138368689244,1.0788364804307775,35.80763840704233,6.59493569450022,0.5073027457307862,34.41431777472506,2,6.59493569450022,0.5073027457307862,"[5.5126177343569305, 1.591617465865874, 1.199999999812819, 10.21887730567641, 8.82555238855107, 1.779076335687392, 10.637706886557085, 14.905856215902165, 3.1870327184585006]",4,179.0,9.528895173612792,1,1.4641064759698024
NGC5371,19,46.24,208.4062085822079,12.259188740129877,214.29508654054078,94.10582893100181,5.881614308187613,102.93914586850113,46.24355454085432,3.55719650314264,63.91018841585296,23.171871629600318,2.317187162960032,49.67182244209828,2,23.171871629600318,2.317187162960032,"[8.743829829381257, -0.10950019664576072, 0.05000000000000001, 10.699999999999998, 30.369877248331235, 6.031611497147891, 10.699999999999998, 37.589192591033864, 0.501279645269524]",4,209.5,12.259188740350686,2,1.3026272684542848
NGC5585,24,10.96,113.78026916610067,5.1718304166409395,120.13637682679656,108.51849092064373,5.167547186697321,118.05265241168756,55.74262703537844,3.09681261307658,74.81095001746611,33.75772520081108,2.2505150133874054,62.36020967394259,2,33.75772520081108,2.2505150133874054,"[4.201929583805695, 2.9999999999194897, 1.1999998749206675, 9.19820201310278, 2.6877922896532613, 0.5721771052648232, 10.143293793033033, 6.404466050821888, 2.2912371404394434]",7,90.3,5.171830416641091,2,3.683328031914358
NGC5907,19,50.33,171.44686914589528,10.085109949758547,177.33574710422815,55.05499792635693,3.4409373703973083,63.88831486385625,31.63386705843487,2.4333743891103747,49.30050093343351,20.466548351326313,2.0466548351326312,46.96649916382428,2,20.466548351326313,2.0466548351326312,"[7.516573368003396, 0.608332743419799, 0.05000000000000027, 10.699999999999998, 39.43388308069751, 1.1652843871938443, 10.457898294892319, 20.560160184235453, 2.590136439859763]",5,215.0,10.085109949760792,1,4.206683569487297
NGC5985,33,34.72,111.8996454016268,3.6096659806976388,118.89266052455976,76.49371035321704,2.5497903451072346,86.98323303761649,29.382569034219763,1.0882432975636949,50.36161440301865,14.668545439637281,0.6111893933182201,46.1371134928356,2,14.668545439637281,0.6111893933182201,"[6.179971311239934, 1.4021469521881065, 0.05361923758905979, 10.699999999999998, 22.40337519822648, 1.7765597965652442, 10.699999999999998, 6.502060336668084, 1.69384141119409]",3,293.6,3.6096659806979,2,2.258179268929689
NGC6015,44,29.23,661.7902808125122,15.756911447916956,669.3586600803487,312.6967312136548,7.626749541796459,324.0493001154096,184.101355811387,4.84477252135229,206.80649361489657,81.74500674336409,2.335571621238974,115.80271344862844,2,81.74500674336409,2.335571621238974,"[7.74537660113449, 0.3868565079753002, 1.1329976846828211, 10.699999999999998, 12.430720361042452, 2.9988710588342316, 10.699999999999998, 19.35986205605929, 3.11863851327309]",6,154.1,15.756911447995137,2,0.8548008886282552
NGC6195,20,36.43,31.945113907643194,1.774728550424622,37.93657845475118,20.92738356814382,1.2310225628319895,29.914580388805796,6.223114540583278,0.4445081814702342,24.197508181907224,11.512532574899716,1.0465938704454287,38.47412303688563,1,6.223114540583278,0.4445081814702342,"[5.839652954258664, 1.5778219388771286, 1.1999999999999997, 9.626540651166543, 2.2496863336502275, 0.1715336033191308]",3,251.7,1.774728550453207,1,0.4164730721412688
NGC6503,31,23.5,73.85803114801341,2.5468286602763244,80.72600555698371,51.104931331637694,1.8251761189870606,61.406892945093134,43.62272665361297,1.7449090661445188,64.22664988052385,29.763238334697363,1.352874469758971,60.669123175063675,2,29.763238334697363,1.352874469758971,"[7.045701827379963, 0.6569291980185519, 1.199999999977594, 9.722657725366279, 10.414596915496887, 1.1989107708053564, 10.624915258690596, 18.55518324951814, 5.4741528009500255]",6,116.3,2.546828660276091,1,0.8058832261180524
NGC6674,15,72.41,276.956369638601,21.30433612604623,282.3724700408054,99.5891807023626,8.29909839186355,107.71333130566923,50.130066547246166,5.570007394138463,66.37836775385942,21.205701750376928,3.5342836250628213,45.57815356029682,2,21.205701750376928,3.5342836250628213,"[7.394478435483501, 0.7735399980492973, 0.05000000000000001, 10.699999999999998, 52.638231635620855, 0.7366896372660638, 10.699999999999998, 57.41656645567382, 0.7393448032151685]",3,241.3,21.304336126194833,2,13.25257694445008
NGC6946,55,20.4,63.2203908618503,1.1928375634311377,71.23505723231524,65.27950511371733,1.255375098340718,77.30150466941475,29.61010946511637,0.6042879482676811,53.65410857651119,16.876671102106286,0.36688415439361494,52.942669769198524,2,16.876671102106286,0.36688415439361494,"[6.506608705552053, 0.9921970061884234, 1.1999999999999698, 9.722152954197878, 4.201489088699232, 0.41036469852444246, 9.801204060067466, 11.186963850224945, 0.29760243225352245]",6,158.9,1.19283756343114,2,0.3819362374160507
NGC7331,28,36.31,12.21404257343753,0.4697708682091358,18.878451593787936,10.71485391087103,0.4285941564348412,20.711467441396643,9.738198115633526,0.442645368892433,29.73142517668475,4.297414148122429,0.2261796920064436,34.287254739699264,0,10.71485391087103,0.4285941564348412,"[5.712488162323661, 1.7023361754045427, 0.5637949121053881]",3,239.0,0.4697708682091291,0,0.4697708682091291
NGC7814,16,19.53,9.931330907938081,0.7093807791384343,15.476508352417643,10.79070195673115,0.8300539966716269,19.108468123450493,0.6181476386377855,0.06181476386377856,17.253679972076473,0.40165949035471127,0.05737992719353018,25.35495799051274,1,0.6181476386377855,0.06181476386377856,"[6.311835008179689, 1.3274645270214247, 1.1999999999999997, 10.5530473986686, 5.645448785240073, 1.8500216069018565]",2,218.9,0.7093807791384282,1,0.0585223056695723
